,0,
0,Bolivia,Bolivia (Plurinational State of)
1,Dhekelia Sovereign Base Area,
2,Syria,Syrian Arab Republic
3,Somaliland,Somalia
4,South Korea,Republic of Korea
5,North Korea,Democratic People's Republic of Korea
6,Western Sahara,Western Sahara
7,Republic of the Congo,Democratic Republic of the Congo
8,Saint Martin,
9,Sint Maarten,
10,Russia,Russian Federation
11,Vietnam,Viet Nam
12,Kosovo,Kosovo
13,Turkey,Türkiye
14,Laos,Lao P`eople's Democratic Republic
15,Iran,Iran (Islamic Republic of)
16,Liechtenstein,Liechtenstein
17,Ivory Coast,Côte d'Ivoire
18,Republic of Serbia,Serbia
19,East Timor,Timor-Leste
20,Brunei,Brunei Darussalam
21,eSwatini,Eswatini
22,US Naval Base Guantanamo Bay,
23,Brazilian Island,
24,Moldova,Republic of Moldova
25,Gibraltar,
26,Venezuela,Venezuela (Bolivarian Republic of)
27,Hong Kong S.A.R.,
28,Vatican,Vatican City
29,Northern Cyprus,
30,Cyprus No Mans Area,
31,Siachen Glacier,
32,Baykonur Cosmodrome,
33,Akrotiri Sovereign Base Area,
34,Southern Patagonian Ice Field,
35,Bir Tawil,
36,New Caledonia,
37,Curaçao,
38,Aruba,
39,The Bahamas,Bahamas
40,Turks and Caicos Islands,
41,Saint Pierre and Miquelon,
42,Pitcairn Islands,
43,French Polynesia,
44,French Southern and Antarctic Lands,
45,United States Minor Outlying Islands,
46,Montserrat,
47,Saint Barthelemy,
48,Anguilla,
49,British Virgin Islands,
50,Cayman Islands,
51,Heard Island and McDonald Islands,
52,Saint Helena,
53,São Tomé and Principe,Sao Tome and Principe
54,Jersey,Jersey
55,Guernsey,Guernsey
56,Isle of Man,Isle of Man
57,Aland,
58,Faroe Islands,
59,Indian Ocean Territories,
60,British Indian Ocean Territory,
61,Norfolk Island,
62,Wallis and Futuna,
63,Federated States of Micronesia,Micronesia (Federated States of)
64,South Georgia and the Islands,
65,Falkland Islands,
66,Coral Sea Islands,
67,Spratly Islands,
68,Clipperton Island,
69,Macao S.A.R,
70,Ashmore and Cartier Islands,
71,Bajo Nuevo Bank (Petrel Is.),
72,Serranilla Bank,
73,Scarborough Reef,
