measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,25,Micronesia (Federated States of),3,Both,1,<5 years,976,Diabetes mellitus type 2,1,Number,2023,0.0,0.0,0.0
5,Prevalence,25,Micronesia (Federated States of),3,Both,6,5-9 years,976,Diabetes mellitus type 2,1,Number,2023,0.0,0.0,0.0
5,Prevalence,25,Micronesia (Federated States of),3,Both,7,10-14 years,976,Diabetes mellitus type 2,1,Number,2023,0.0,0.0,0.0
5,Prevalence,25,Micronesia (Federated States of),3,Both,8,15-19 years,976,Diabetes mellitus type 2,1,Number,2023,171.9717110323274,217.6708260735685,137.72085049548792
5,Prevalence,25,Micronesia (Federated States of),3,Both,9,20-24 years,976,Diabetes mellitus type 2,1,Number,2023,513.3316093243754,629.2486444157616,408.1648479476775
5,Prevalence,25,Micronesia (Federated States of),3,Both,10,25-29 years,976,Diabetes mellitus type 2,1,Number,2023,714.6307476016678,852.2419564033636,587.2293344196765
5,Prevalence,25,Micronesia (Federated States of),3,Both,11,30-34 years,976,Diabetes mellitus type 2,1,Number,2023,835.4141144055682,985.1695511749998,699.6718670834684
5,Prevalence,25,Micronesia (Federated States of),3,Both,12,35-39 years,976,Diabetes mellitus type 2,1,Number,2023,1029.2339441918075,1185.0091910111591,878.3365902327562
5,Prevalence,25,Micronesia (Federated States of),3,Both,13,40-44 years,976,Diabetes mellitus type 2,1,Number,2023,1385.1033688186385,1600.1757020040495,1188.8234870865945
5,Prevalence,25,Micronesia (Federated States of),3,Both,14,45-49 years,976,Diabetes mellitus type 2,1,Number,2023,2089.052326477229,2308.221363133332,1871.451485062861
5,Prevalence,25,Micronesia (Federated States of),3,Both,15,50-54 years,976,Diabetes mellitus type 2,1,Number,2023,2673.400525103648,2900.7457433389327,2368.478993996443
5,Prevalence,25,Micronesia (Federated States of),3,Both,16,55-59 years,976,Diabetes mellitus type 2,1,Number,2023,2766.229537169048,2927.42386618671,2524.580549545933
5,Prevalence,25,Micronesia (Federated States of),3,Both,17,60-64 years,976,Diabetes mellitus type 2,1,Number,2023,2622.456926247159,2744.174558095291,2493.3055093961225
5,Prevalence,25,Micronesia (Federated States of),3,Both,18,65-69 years,976,Diabetes mellitus type 2,1,Number,2023,1636.0680748076234,1717.348470942046,1558.0583960447616
5,Prevalence,25,Micronesia (Federated States of),3,Both,19,70-74 years,976,Diabetes mellitus type 2,1,Number,2023,920.2160877807528,970.2770461754416,873.1668044223338
5,Prevalence,25,Micronesia (Federated States of),3,Both,20,75-79 years,976,Diabetes mellitus type 2,1,Number,2023,424.9306488457046,452.5845606246789,403.248096373349
5,Prevalence,25,Micronesia (Federated States of),3,Both,30,80-84 years,976,Diabetes mellitus type 2,1,Number,2023,175.90280220480653,189.61048067582783,164.1932200893108
5,Prevalence,25,Micronesia (Federated States of),3,Both,31,85-89 years,976,Diabetes mellitus type 2,1,Number,2023,64.75708181836438,71.05537215912477,59.50155400201924
5,Prevalence,25,Micronesia (Federated States of),3,Both,32,90-94 years,976,Diabetes mellitus type 2,1,Number,2023,14.068986621184202,15.809440604473558,12.428504725060003
